Dzongkhag,dzongkhagCode,gewog/thromde,gewog/thromde code,chiwog/lap,chiwogLapCode,eaCode,EA Description,hhCount
Samdrup Jongkhar,11,Samdrup Jongkhar Thromde,51, Football ground side a,3,1,Hotel Charo Zomsa  & BNB Office,61
Samdrup Jongkhar,11,Samdrup Jongkhar Thromde,51, Football ground side a,3,2,Kuenphen House Barma Cable office,48
Samdrup Jongkhar,11,Samdrup Jongkhar Thromde,51, Football ground side a,3,4,"Dzongda Residence, Jail Area , Dzongkhad Administration & court area",45
Samdrup Jongkhar,11,Samdrup Jongkhar Thromde,51, Football ground side a,3,5,"Vetenary Hospital Area, BPC, RBA area, Morphu Area, Royal Guest house area",23
Samdrup Jongkhar,11,Samdrup Jongkhar Thromde,51, Football ground side b,4,2,Zangdopelri & PWD Colony area,34
Samdrup Jongkhar,11,Samdrup Jongkhar Thromde,51, Football ground side b,4,4,Pension Colony Above drain Area,47
Samdrup Jongkhar,11,Samdrup Jongkhar Thromde,51, Football ground side b,4,6,Karma Colony & BPC Colony,29
Samdrup Jongkhar,11,Samdrup Jongkhar Thromde,51, Football ground side b,4,8,Pubilc Footbal Ground & tashi Pelphel area & Dzongrab's residence & RBP Colony Area,48
Samdrup Jongkhar,11,Samdrup Jongkhar Thromde,51, Football ground side b,4,10,Half of RBP Colony & Area below the road,87
Samdrup Jongkhar,11,Samdrup Jongkhar Thromde,51, Football ground side b,4,12,NHDC Colony  & Bacho Area,26
Samdrup Jongkhar,11,Samdrup Jongkhar Thromde,51, Behind Dzong,5,1,Behind Dzong,69
Samdrup Jongkhar,11,Samdrup Jongkhar Thromde,51, Deothang 5a,6,2,IT Department Area,38
Samdrup Jongkhar,11,Samdrup Jongkhar Thromde,51,Deothang 5b,7,1,Along the S/Jongkhar Deothang Highway I,29
Samdrup Jongkhar,11,Samdrup Jongkhar Thromde,51,Deothang 5b,7,3,Yang Yangs Corner to RBA Quarter,14
Samdrup Jongkhar,11,Samdrup Jongkhar Thromde,51,Deothang 5b,7,5,Deothang Hospital and Lhakhang area,43
Samdrup Jongkhar,11,Samdrup Jongkhar Thromde,51,Deothang 5ba,8,1,Immigration Check Post to Dungsam Academy,32
Samdrup Jongkhar,11,Samdrup Jongkhar Thromde,51, Deothang 5c,9,2,Main town/ Bazaar area,21
Sarpang,13,Gelephu Thromde,51,LA 1,1,3,Hongkong Market,27
Sarpang,13,Gelephu Thromde,51,LA 1,1,6,Waterfall Club,18
Sarpang,13,Gelephu Thromde,51,LA 2,2,2,Pema Motor brokage area,40
Sarpang,13,Gelephu Thromde,51,LA 2,2,6,Upper Hongkong Market Area,47
Sarpang,13,Gelephu Thromde,51,LA 2,2,9,Area above fishery area,45
Sarpang,13,Gelephu Thromde,51,LA 3,3,21,Old match factory and Tulsi General shop area 01 (starting from Phuel Jung Pizza building ),41
Sarpang,13,Gelephu Thromde,51,LA 3,3,32,Area below round over round 1,30
Sarpang,13,Gelephu Thromde,51,LA 4,4,1,Sherab Lham Press & Kuendrup HSS Area,26
Sarpang,13,Gelephu Thromde,51,LA 4,4,6,Vetenary Hospital,64
Sarpang,13,Gelephu Thromde,51,LA 5,5,2,Pemathang Between road (Below institute),86
Sarpang,13,Gelephu Thromde,51,Core b ,7,1,Vegetable Market Area,25
Sarpang,13,Gelephu Thromde,51,LA 8,8,1,Tashiling Demkhong/Airport area,141
Sarpang,13,Gelephu Thromde,51,LA 8,8,23,AWP Colony/AWP Area/BoB Area/Gelephu HSS (Starting above Sarpang highway from AWP staff quarter (building),21
Sarpang,13,Gelephu Thromde,51,LA 9,9,1,Gelephu HSS/Youth Center/Gelephu Thromde Office/Namcha Workshop/Regional Immigration/Trade office Area,29
Sarpang,13,Gelephu Thromde,51,LA 10,10,3,Sonam Bar shop area,25
Sarpang,13,Gelephu Thromde,51,LA 10,10,8,Karma Cement Agent Area,22
Thimphu,14,Thimphu Thromde,51,Dechencholing II,2,7,EA-7,39
